# VSM Evidence Workbench - Normalized Data Export
# Generated: 2026-04-30 20:57:01 UTC
# Source file: C:\Users\Administrator\OneDrive - Gannon University\Spring 2026\Senior Design\RigolDS0.csv
# Samples: 1000000
# CSV mode: preview_downsampled
# Note: Preview CSV downsampled to 50,000 rows for package size; metrics computed on full-resolution data.
# Sample rate: 10000000.0 Hz
#
ts,v_ab,v_an,v_bc,v_bn,v_ca,v_cn
0.00010800000000000393,-1.6668413,-0.3214723,2.864096,1.345369,-1.1972547,-1.518727
0.00011000000000000593,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00011200000000000099,-1.5864732,-0.2411042,2.944029,1.345369,-1.3575558,-1.59866
0.00011400000000000299,-1.58401608,-0.08036808,2.942442,1.503648,-1.35842592,-1.438794
0.00011600000000000499,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.00011800000000000005,-1.6643842000000002,-0.1607362,3.0223750000000003,1.503648,-1.3579908,-1.518727
0.00012000000000000205,-1.50487608,-0.08036808,3.023168,1.424508,-1.51829192,-1.59866
0.00012200000000000405,-1.50487608,-0.08036808,2.943235,1.424508,-1.43835892,-1.518727
0.00012400000000000605,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.0001260000000000011,-1.503648,0.0,3.102308,1.503648,-1.59866,-1.59866
0.0001280000000000031,-1.50487608,-0.08036808,2.863302,1.424508,-1.35842592,-1.438794
0.0001300000000000051,-1.58401608,-0.08036808,2.942442,1.503648,-1.35842592,-1.438794
0.00013200000000000017,-1.5864732,-0.2411042,2.784163,1.345369,-1.1976898,-1.438794
0.00013400000000000217,-1.50487608,-0.08036808,2.863302,1.424508,-1.35842592,-1.438794
0.00013600000000000417,-1.6643842000000002,-0.1607362,3.0223750000000003,1.503648,-1.3579908,-1.518727
0.00013800000000000617,-1.5877023,-0.3214723,2.86489,1.26623,-1.2771877,-1.59866
0.00014000000000000123,-1.5061052,-0.1607362,2.864096,1.345369,-1.3579908,-1.518727
0.00014200000000000323,-1.5073341999999998,-0.2411042,2.784957,1.26623,-1.2776228,-1.518727
0.00014400000000000523,-1.5852442,-0.1607362,3.023168,1.424508,-1.4379238,-1.59866
0.0001460000000000003,-1.5864732,-0.2411042,2.944029,1.345369,-1.3575558,-1.59866
0.0001480000000000023,-1.5864732,-0.2411042,2.944029,1.345369,-1.3575558,-1.59866
0.0001500000000000043,-1.5864732,-0.2411042,2.944029,1.345369,-1.3575558,-1.59866
0.00015199999999999936,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00015400000000000136,-1.5864732,-0.2411042,2.864096,1.345369,-1.2776228,-1.518727
0.00015600000000000336,-1.5864732,-0.2411042,2.864096,1.345369,-1.2776228,-1.518727
0.00015800000000000536,-1.7472094,-0.4018404,2.864096,1.345369,-1.1168866,-1.518727
0.00016000000000000042,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.00016200000000000242,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00016400000000000442,-1.6643842000000002,-0.1607362,2.942442,1.503648,-1.2780578,-1.438794
0.00016599999999999948,-1.50487608,-0.08036808,3.023168,1.424508,-1.51829192,-1.59866
0.00016800000000000148,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.00017000000000000348,-1.6643842000000002,-0.1607362,3.0223750000000003,1.503648,-1.3579908,-1.518727
0.00017200000000000548,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.00017400000000000054,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.00017600000000000254,-1.58401608,-0.08036808,3.0223750000000003,1.503648,-1.43835892,-1.518727
0.00017800000000000454,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.0001799999999999996,-1.5852442,-0.1607362,2.863302,1.424508,-1.2780578,-1.438794
0.0001820000000000016,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.0001840000000000036,-1.5852442,-0.1607362,2.863302,1.424508,-1.2780578,-1.438794
0.0001860000000000056,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.00018800000000000067,-1.7472094,-0.4018404,2.864096,1.345369,-1.1168866,-1.518727
0.00019000000000000267,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.00019200000000000467,-1.6668413,-0.3214723,2.944029,1.345369,-1.2771877,-1.59866
0.00019399999999999973,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00019600000000000173,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.00019800000000000373,-1.5061052,-0.1607362,2.864096,1.345369,-1.3579908,-1.518727
0.00020000000000000573,-1.9079455,-0.5625765,2.864096,1.345369,-0.9561504999999999,-1.518727
0.0002020000000000008,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
0.0002040000000000028,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.0002060000000000048,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
0.00020799999999999985,-1.9067165000000001,-0.4822085,2.943235,1.424508,-1.0365185,-1.518727
0.00021000000000000185,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.00021200000000000385,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
0.00021400000000000585,-1.6643842000000002,-0.1607362,3.0223750000000003,1.503648,-1.3579908,-1.518727
0.0002160000000000009,-1.66069792,0.08036808,3.1798599999999997,1.741066,-1.5191620799999999,-1.438794
0.00021800000000000291,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00022000000000000491,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00022199999999999998,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.00022400000000000198,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
0.00022600000000000398,-1.6643842000000002,-0.1607362,3.0223750000000003,1.503648,-1.3579908,-1.518727
0.00022800000000000598,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00023000000000000104,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.00023200000000000304,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
0.00023400000000000504,-1.6643842000000002,-0.1607362,2.942442,1.503648,-1.2780578,-1.438794
0.0002360000000000001,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.0002380000000000021,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.0002400000000000041,-1.7447522000000002,-0.2411042,3.0223750000000003,1.503648,-1.2776228,-1.518727
0.0002420000000000061,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.00024400000000000116,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00024600000000000316,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00024800000000000516,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.0002500000000000002,-1.5889304,-0.4018404,2.78575,1.18709,-1.1968196,-1.59866
0.0002520000000000022,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.0002540000000000042,-1.7447522000000002,-0.2411042,3.0223750000000003,1.503648,-1.2776228,-1.518727
0.0002560000000000062,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.0002580000000000013,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
0.0002600000000000033,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
